Extraction_ID	Sample_id	Propagation	Sample_origin	Group	Litter	Sex	Birth_weight	Diarrhea_time	WCPSI_colon	NEC_01	Inoculum_type	Sample_or_Control	Batch	Sample_time_point	No_ID	Substrate
Chem_42	PV5 V2.1	VB2 PV5	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B5	Batch2	40	HMO
Chem_43	PV5 V3.1	VB3 PV5	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B5	Batch3	41	HMO
Chem_44	PV5 V4.1	VB4 PV5	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B5	Chemostat1	42	HMO
Chem_45	PV5 V5.1	VB5 PV5	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B5	Chemostat2	43	HMO
Chem_46	PV5 V7.1	VB7 PV5	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B5	Chemostat3	44	HMO
Chem_47	PV5 V8.1	VB8 PV5	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B5	Chemostat4	45	HMO
Chem_48	PV6 Ino-V	Ino-VB PV6	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B6	Inoculum	46	Inoculum
Chem_49	PV6 V0.1	VB0 PV6	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B6	Batch0	47	Lactose
Chem_50	PV6 V1.1	VB1 PV6	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B6	Batch1	48	Lactose
Chem_51	PV6 V2.1	VB2 PV6	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B6	Batch2	49	Lactose
Chem_52	PV6 V3.1	VB3 PV6	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B6	Batch3	50	Lactose
Chem_53	PV6 V4.1	VB4 PV6	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B6	Chemostat1	51	Lactose
Chem_54	PV6 V5.1	VB5 PV6	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B6	Chemostat2	52	Lactose
Chem_55	PV6 V7.1	VB7 PV6	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B6	Chemostat3	53	Lactose
Chem_56	PV6 V8.1	VB8 PV6	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B6	Chemostat4	54	Lactose
Chem_57	Donor 22 - V.1	Other	Chemostat_donor	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	Donor	Donor	Donor	Donor
Chem_58	Donor 24 - V.1	Other	Chemostat_donor	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	Donor	Donor	Donor	Donor
Chem_59	Donor 26 - V.1	Other	Chemostat_donor	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	Donor	Donor	Donor	Donor
Chem_60	Donor 27 - V.1	Other	Chemostat_donor	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	Donor	Donor	Donor	Donor
Chem_61	Pos_control	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
Chem_62	Neg_control	Other	Neg_Control_1	Other	Other	Other	Other	Other	Other	Other	Other	Neg_control	Other	Other	Other	Other
Chem_63	Control_rt	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
