""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"
"vOTU_5289"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_53"	6759.87231114565	-30	2.96472745274987	-10.1189739961338	4.55161767227319e-24	1.62149835204415e-23	"Orthornavirae"	"Pisuviricota"	"Duplopiviricetes"	"Durnavirales"	"Picobirnaviridae"
"vOTU_5303"	0	NA	NA	NA	NA	NA	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"
"vOTU_5309"	0	NA	NA	NA	NA	NA	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"
"vOTU_532"	0	NA	NA	NA	NA	NA	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_533"	0	NA	NA	NA	NA	NA	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_535"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_5350"	0	NA	NA	NA	NA	NA	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"
"vOTU_536"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_537"	312724.667888223	30	2.98087786573729	10.0641493382956	7.95722284661446e-24	1.62149835204415e-23	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_538"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_539"	0	NA	NA	NA	NA	NA	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_54"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_541"	0	NA	NA	NA	NA	NA	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_542"	0	NA	NA	NA	NA	NA	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_543"	0	NA	NA	NA	NA	NA	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_544"	0	NA	NA	NA	NA	NA	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_5441"	0	NA	NA	NA	NA	NA	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"
"vOTU_546"	0	NA	NA	NA	NA	NA	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_547"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_548"	0	NA	NA	NA	NA	NA	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_549"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_55"	0	NA	NA	NA	NA	NA	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_550"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
