vOTU	Chem_1	Chem_10	Chem_11	Chem_12	Chem_13	Chem_14	Chem_15	Chem_16	Chem_17	Chem_18	Chem_19	Chem_2	Chem_20	Chem_21	Chem_22	Chem_23	Chem_24	Chem_25	Chem_26	Chem_27	Chem_28	Chem_29	Chem_3	Chem_30	Chem_31	Chem_32	Chem_33	Chem_34	Chem_35	Chem_36	Chem_37	Chem_38	Chem_39	Chem_4	Chem_40	Chem_41	Chem_42	Chem_43	Chem_44	Chem_45	Chem_46	Chem_47	Chem_48	Chem_49	Chem_5	Chem_50	Chem_51	Chem_52	Chem_53	Chem_54	Chem_55	Chem_56	Chem_57	Chem_58	Chem_59	Chem_6	Chem_60	Chem_61	Chem_62	Chem_63	Chem_7	Chem_8	Chem_9	P1	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P2	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P3	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P4	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P5	P50	P51	P52	P53	P54	P55	P56	P57	P58	P6	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P7	P70	P71	P8	P9
vOTU_20781	63436.44085	101445.431	0	21319.95175	0	0	0	0	0	0	104739.4284	0	0	31240.409	0	0	5546.419228	0	0	0	119836.8118	0	10765.30575	32965.02715	0	0	4433.050024	8386.211652	0	0	0	0	69498.76925	12120.21502	0	69494.34257	7302.637383	8920.9874	0	0	0	0	86203.41238	0	0	37448.27789	6953.407307	5292.684935	0	0	0	0	0	0	226090.2893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_20799	6014.686795	12566.62314	0	0	0	0	0	0	0	0	3518.62379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2008.575798	0	0	0	0	0	0	0	0	0	3422.639421	0	0	0	0	0	0	0	0	0	0	0	12655.27879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_21097	2132.524842	0	0	0	0	0	0	0	0	0	3563.13987	0	0	0	0	0	0	0	0	0	21005.42181	0	0	0	0	0	0	0	0	0	0	0	10574.82351	0	0	0	0	0	0	0	0	0	1858.533009	0	0	0	0	0	0	0	0	0	0	0	0	0	106919.0323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_21494	3457.101736	9658.991325	0	0	0	0	0	0	0	0	5785.564166	0	0	0	0	0	0	0	0	0	8914.93418	0	0	0	0	0	0	0	0	0	0	0	15515.32469	0	0	0	0	0	0	0	0	0	9778.901043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_21575	20884.20924	23767.40101	0	26250.48356	3571.039944	0	0	0	0	0	55469.19243	0	0	18871.61906	0	0	0	0	0	0	60443.74916	0	7245.67298	17568.55604	0	0	0	0	0	0	0	0	38458.21501	0	0	0	0	0	0	0	0	0	49846.78173	0	0	5860.222742	0	0	0	0	0	0	48670.45365	0	89129.43789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_21605	32092.64634	29174.99783	0	25567.52593	7938.036015	4410.909682	0	0	0	0	67532.92806	0	0	33400.6155	0	0	0	0	0	0	71593.20348	0	18303.43277	16086.72075	0	0	0	0	0	0	0	0	50897.94896	7137.449047	0	0	0	5017.503624	0	0	0	0	50870.67258	0	0	8341.406789	3831.827097	4926.788826	2485.762863	0	0	0	125446.7878	0	42799.15925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_21906	3866.594677	12592.28802	0	0	0	0	0	0	0	0	13350.1015	0	0	2209.417836	0	0	0	0	0	0	19644.49005	0	0	0	0	0	0	0	0	0	0	0	13301.99797	0	0	0	0	0	0	0	0	0	19230.61161	0	0	0	0	0	0	0	0	0	0	0	8977.511329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_22282	3039.757165	0	0	0	0	0	0	0	0	0	2222.059679	0	0	0	0	0	0	0	0	0	3477.739709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4917.079468	0	0	0	0	0	0	0	0	0	0	0	9035.804944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_22289	7319.774148	2131.288324	0	0	0	0	0	0	0	0	1163.902197	0	0	8828.555694	0	0	0	0	0	0	8176.368975	0	0	0	0	0	0	0	0	0	0	0	11317.85616	0	0	0	0	0	0	0	0	0	2641.221183	0	0	0	0	0	0	0	0	0	0	0	11983.04174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_22389	2573.922417	10116.97414	0	0	0	0	0	0	0	0	11765.3936	0	0	4875.1587	0	0	0	0	0	0	21111.8561	0	0	0	0	0	0	0	0	0	0	0	11848.50515	0	0	0	0	0	0	0	0	0	14586.35501	0	0	0	0	0	0	0	0	0	0	0	20060.96262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
